year,state,cause,sum(deaths)
1999,United States,Heart disease,725192
2000,United States,Heart disease,710760
2001,United States,Heart disease,700142
2002,United States,Heart disease,696947
2003,United States,Heart disease,685089
2004,United States,Heart disease,652486
2005,United States,Heart disease,652091
2016,United States,Heart disease,635260
2015,United States,Heart disease,633842
2006,United States,Heart disease,631636
2008,United States,Heart disease,616828
2007,United States,Heart disease,616067
2014,United States,Heart disease,614348
2013,United States,Heart disease,611105
2012,United States,Heart disease,599711
2009,United States,Heart disease,599413
2016,United States,Cancer,598038
2010,United States,Heart disease,597689
2011,United States,Heart disease,596577
2015,United States,Cancer,595930
2014,United States,Cancer,591700
2013,United States,Cancer,584881
2012,United States,Cancer,582623
2011,United States,Cancer,576691
2010,United States,Cancer,574743
2009,United States,Cancer,567628
2008,United States,Cancer,565469
2007,United States,Cancer,562875
2006,United States,Cancer,559888
2005,United States,Cancer,559312
2002,United States,Cancer,557271
2003,United States,Cancer,556902
2004,United States,Cancer,553888
2001,United States,Cancer,553768
2000,United States,Cancer,553091
1999,United States,Cancer,549838
2000,United States,Stroke,167661
1999,United States,Stroke,167366
2001,United States,Stroke,163538
2002,United States,Stroke,162672
2016,United States,Unintentional injuries,161374
2003,United States,Stroke,157689
2015,United States,CLRD,155041
2016,United States,CLRD,154596
2004,United States,Stroke,150074
2013,United States,CLRD,149205
2014,United States,CLRD,147101
2015,United States,Unintentional injuries,146571
2005,United States,Stroke,143579
2012,United States,CLRD,143489
2011,United States,CLRD,142943
2016,United States,Stroke,142142
2008,United States,CLRD,141090
2015,United States,Stroke,140323
2010,United States,CLRD,138080
2009,United States,CLRD,137353
2006,United States,Stroke,137119
2007,United States,Stroke,135952
2014,United States,Unintentional injuries,135928
2008,United States,Stroke,134148
2014,United States,Stroke,133103
2005,United States,CLRD,130933
2013,United States,Unintentional injuries,130557
2010,United States,Stroke,129476
2013,United States,Stroke,128978
2011,United States,Stroke,128932
2009,United States,Stroke,128842
2012,United States,Stroke,128546
2007,United States,CLRD,127924
2012,United States,Unintentional injuries,127792
2011,United States,Unintentional injuries,126438
2003,United States,CLRD,126382
2002,United States,CLRD,124816
2006,United States,CLRD,124583
1999,United States,CLRD,124181
2007,United States,Unintentional injuries,123706
2001,United States,CLRD,123013
2000,United States,CLRD,122009
2004,United States,CLRD,121987
2008,United States,Unintentional injuries,121902
2006,United States,Unintentional injuries,121599
2010,United States,Unintentional injuries,120859
2009,United States,Unintentional injuries,118021
2005,United States,Unintentional injuries,117809
2016,United States,Alzheimer's disease,116103
2004,United States,Unintentional injuries,112012
2015,United States,Alzheimer's disease,110561
2003,United States,Unintentional injuries,109277
2002,United States,Unintentional injuries,106742
2001,United States,Unintentional injuries,101537
2000,United States,Unintentional injuries,97900
1999,United States,Unintentional injuries,97860
2014,United States,Alzheimer's disease,93541
2011,United States,Alzheimer's disease,84974
2013,United States,Alzheimer's disease,84767
2012,United States,Alzheimer's disease,83637
2010,United States,Alzheimer's disease,83494
2008,United States,Alzheimer's disease,82435
2016,United States,Diabetes,80058
2015,United States,Diabetes,79535
2009,United States,Alzheimer's disease,79003
2014,United States,Diabetes,76488
2013,United States,Diabetes,75578
2005,United States,Diabetes,75119
2007,United States,Alzheimer's disease,74632
2003,United States,Diabetes,74219
2012,United States,Diabetes,73932
2011,United States,Diabetes,73831
2002,United States,Diabetes,73249
2004,United States,Diabetes,73138
2006,United States,Diabetes,72449
2006,United States,Alzheimer's disease,72432
1999,California,Heart disease,71930
2005,United States,Alzheimer's disease,71599
2007,United States,Diabetes,71382
2001,United States,Diabetes,71372
2008,United States,Diabetes,70553
2000,United States,Diabetes,69301
2010,United States,Diabetes,69071
2003,California,Heart disease,68864
2002,California,Heart disease,68797
2009,United States,Diabetes,68705
2000,California,Heart disease,68426
1999,United States,Diabetes,68399
2001,California,Heart disease,68234
2004,United States,Alzheimer's disease,65965
2002,United States,Influenza and pneumonia,65681
2000,United States,Influenza and pneumonia,65313
2003,United States,Influenza and pneumonia,65163
2004,California,Heart disease,64999
2005,California,Heart disease,64916
2006,California,Heart disease,64871
1999,United States,Influenza and pneumonia,63730
2003,United States,Alzheimer's disease,63457
2005,United States,Influenza and pneumonia,63001
2001,United States,Influenza and pneumonia,62034
2007,California,Heart disease,61690
2016,California,Heart disease,61573
2015,California,Heart disease,61289
2008,California,Heart disease,60709
2013,California,Heart disease,60299
2011,California,Heart disease,59772
2004,United States,Influenza and pneumonia,59664
2015,California,Cancer,59629
2016,California,Cancer,59515
2012,California,Heart disease,59371
2009,California,Heart disease,59206
1999,New York,Heart disease,58987
2002,United States,Alzheimer's disease,58866
2010,California,Heart disease,58641
2014,California,Cancer,58412
2014,California,Heart disease,58189
2013,California,Cancer,57714
2012,California,Cancer,57676
2000,New York,Heart disease,57474
2015,United States,Influenza and pneumonia,57062
2013,United States,Influenza and pneumonia,56979
2002,New York,Heart disease,56672
2001,New York,Heart disease,56643
2010,California,Cancer,56453
2011,California,Cancer,56449
2006,United States,Influenza and pneumonia,56326
2008,United States,Influenza and pneumonia,56284
2009,California,Cancer,55991
2003,New York,Heart disease,55276
2014,United States,Influenza and pneumonia,55227
2007,California,Cancer,55011
2005,California,Cancer,54732
2008,California,Cancer,54686
2003,California,Cancer,54319
2002,California,Cancer,54143
2006,California,Cancer,54140
2001,California,Cancer,53924
2001,United States,Alzheimer's disease,53852
2011,United States,Influenza and pneumonia,53826
2004,California,Cancer,53700
2009,United States,Influenza and pneumonia,53692
2000,California,Cancer,53158
1999,California,Cancer,53067
2007,United States,Influenza and pneumonia,52717
2004,New York,Heart disease,52480
2005,New York,Heart disease,51985
2016,United States,Influenza and pneumonia,51537
1999,Florida,Heart disease,51434
2012,United States,Influenza and pneumonia,50636
2001,Florida,Heart disease,50629
2010,United States,Kidney disease,50476
2006,New York,Heart disease,50470
2000,Florida,Heart disease,50336
2010,United States,Influenza and pneumonia,50097
2016,United States,Kidney disease,50046
2015,United States,Kidney disease,49959
2000,United States,Alzheimer's disease,49558
2007,New York,Heart disease,49528
2008,New York,Heart disease,49324
2002,Florida,Heart disease,49235
2009,United States,Kidney disease,48935
2008,United States,Kidney disease,48237
2014,United States,Kidney disease,48146
2003,Florida,Heart disease,48141
2009,New York,Heart disease,47283
2004,Florida,Heart disease,47160
2013,United States,Kidney disease,47112
2007,United States,Kidney disease,46448
2005,Florida,Heart disease,46279
2016,Florida,Heart disease,45659
2012,United States,Kidney disease,45622
2011,United States,Kidney disease,45591
2015,Florida,Heart disease,45441
2006,United States,Kidney disease,45344
2010,New York,Heart disease,44981
2016,United States,Suicide,44965
1999,United States,Alzheimer's disease,44536
2014,Florida,Heart disease,44511
2011,New York,Heart disease,44501
2015,New York,Heart disease,44450
2006,Florida,Heart disease,44305
